Brand ,Item Name ,Category,Bought Price,,Sold Price ,Sold Platform ,,,,,,,,,,,,,
Ann Demeulemeester ,Ann D Derbies Sz. 43.5,Shoes,124.61,145.89,21.28,Grailed ,,,,,,,,,,,,,
Chanel ,Chanel Black Double C Necklace ,Jewelry,124.61,207.62,83.01,Website ,,,,,,,,,,,,,
Margiela ,Martin Margiela Sneaker 43.5,Shoes,126.95,75.8,-51.15,Grailed ,,,,,,,,,,,,,
Chanel ,Chanel Friendship Bracelet ,Jewelry,123.36,,-123.36,,,,,,,,,,,,,,
Margiela ,Marting Margiela A/W 2006 Lighting Bolt T-shirt,Tops,123.36,,-123.36,,,,,,,,,,,,,,
Chanel ,Chanel Arrow Double C Necklace ,Jewelry,123.36,183.06,59.7,Grailed ,,,,,,,,,,,,,
Undercover ,"Undercover S/S 04 ""Languid"" Tote",Bag,123.36,114.78,-8.58,,,,,,,,,,,,,,
Margiela ,Martin Margiela Sneaker 42.5,Shoes,123.36,159.49,36.13,Grailed ,,,,,,,,,,,,,
Rick Owens ,Rick Owens Ramones ,Shoes,123.36,228.95,105.59,Grailed ,,,,,,,,,,,,,
Raf Simons ,"Raf Simons S/S 2000 ""Summa Cum Laude"" Tank",Tops,123.36,139.86,16.5,,,,,,,,,,,,,,
Raf Simons ,Raf Simons 1997 Sweatshirt,Tops,123.36,,-123.36,,,,,,,,,,,,,,
Margiela ,Martin Margiela A/W 2008 Marbled knit,Tops,123.36,,-123.36,,,,,,,,,,,,,,
Raf Simons ,"Raf Simons A/W 2004 ""Rave Signal"" Ls",Tops,121.98,,-121.98,,,,,,,,,,,,,,
Raf Simons ,"Raf Simons S/S 2000 ""Camp Crystal Lake"" T-shirt",Tops,121.98,,-121.98,,,,,,,,,,,,,,
Undercover ,Undercover x Kaws Button Up ,Tops,121.98,,-121.98,,,,,,,,,,,,,,
Prada ,Prada Packable Anorak ,Outerwear,121.98,136.39,14.41,,,,,,,,,,,,,,
Prada ,Prada Geometric knit ,Tops,121.98,,-121.98,,,,,,,,,,,,,,
Dior ,Dior Trotter Shoulder Bag Pink ,Bag,121.98,233.96,111.98,Grailed,,,,,,,,,,,,,
Visvim,Visvim Lhamo ,Tops,121.98,201.58,79.6,Grailed ,,,,,,,,,,,,,
Undercover ,Undercover S/S 10 Less But Better Waistbag,Bag,121.98,,-121.98,,,,,,,,,,,,,,
Chanel ,Chanel Trackpant ,Bottoms,121.98,,-121.98,,,,,,,,,,,,,,
Rick Owens ,Mainline Laceless Ramone ,Shoes,172.84,390,217.16,Meetup,,,,,,,,,,,,,
Rick Owens ,Combat Boot ,Shoes,163.31,374.47,211.16,,,,,,,,,,,,,,
Undercover,GOD DOG Jeans Sz.4,Bottoms,134.86,143.23,8.37,,,,,,,,,,,,,,
Undercover,"S/S 2004 ""Scab"" D-Ring Jeans",Bottoms,134.86,145.97,11.11,,,,,,,,,,,,,,
Dior ,Pink Shoulder bag ,Bag,134.86,230,95.14,Meetup,,,,,,,,,,,,,
Visvim,Lhamo ,Tops,134.86,228.81,93.95,Grailed ,,,,,,,,,,,,,
Raf Simons ,Raf by Raf Simons Padded Bomber ,Outerwear,134.86,,-134.86,,,,,,,,,,,,,,
Vivienne Westwood ,Rorschach Skull and Crossbones Sweater ,Tops,134.86,228.21,93.35,Grailed ,,,,,,,,,,,,,
Vivienne Westwood ,Skull and Crossbones Portable Ashtray ,Accessory,134.86,186.12,51.26,,,,,,,,,,,,,,
Chanel ,Diaper Bag ,Bag,141.83,,-141.83,,,,,,,,,,,,,,
Chanel ,Graffiti Camellia Bucket hat ,Hat,141.83,,-141.83,,,,,,,,,,,,,,
Chanel ,Wallet Chain ,Accessory,141.83,200,58.17,,,,,,,,,,,,,,
Ann Demeulemeester ,Brick Red Boots Sz.41,Shoes,141.83,245.4,103.57,Grailed ,,,,,,,,,,,,,
Junya Watanabe ,Cargo Belt ,Accessory,141.83,144.92,3.09,,,,,,,,,,,,,,
Dior ,Trotter Duffle Bag ,Bag,141.83,281.62,139.79,Instagram,,,,,,,,,,,,,
Faure Le Page ,Credit Card Holder ,Accessory,141.83,207.62,65.79,Instagram,,,,,,,,,,,,,
Dior ,Trotter Shoulder Bag ,Bag,141.83,225,83.17,Meetup ,,,,,,,,,,,,,
Chanel ,Shoulder Bag ,Bag,143.7,140.52,-3.18,,,,,,,,,,,,,,
Chanel ,Crossbody Bag ,Bag,143.7,125.65,-18.05,,,,,,,,,,,,,,
Chanel ,TerryCloth Pouch ,Bag,143.7,,-143.7,,,,,,,,,,,,,,
Ann Demeulemeester ,A/W 2012 Ombre Boots,Shoes,143.7,287.89,144.19,,,,,,,,,,,,,,
Undercover ,CHUUUT Jeans ,Bottoms,143.7,186.36,42.66,,,,,,,,,,,,,,
Junya Watanabe ,S/S 2001 Poem T-Shirt,Tops,143.7,137.56,-6.14,,,,,,,,,,,,,,
Visvim ,Lhamo ,Tops,143.7,237.42,93.72,,,,,,,,,,,,,,
Nike ,Charles Barkley Vntg T ,Tops,143.7,135,-8.7,,,,,,,,,,,,,,
Raf Simons ,S/S 2013 Asics Running Shoes Sz.42,Shoes,181.7,,-181.7,,,,,,,,,,,,,,
Rick Owens ,Boots Sz.42,Shoes,181.7,,-181.7,,,,,,,,,,,,,,
Dior Homme ,"A/W 2007 ""Navigate"" Suede Boots",Shoes,181.7,,-181.7,,,,,,,,,,,,,,
Dior ,Trotter Shoulder Bag-black,Bag,181.7,228.55,46.85,,,,,,,,,,,,,,
Dior ,Trotter Shoulder Bag-blue ,Bag,181.7,224.9,43.2,,,,,,,,,,,,,,
Chanel ,Graffiti Camellia Tote,Bag,181.7,240.38,58.68,,,,,,,,,,,,,,
Visvim ,Band Collar ,Tops,168.44,,-168.44,,,,,,,,,,,,,,
Ann Demeulemeester ,Gray Suede Combat Boots Sz.42.5,Shoes,168.44,,-168.44,,,,,,,,,,,,,,
Raf Simons-Adidas ,S/S 2014 Sneaker Boots,Shoes,168.44,335.7,167.26,,,,,,,,,,,,,,
Rick Owens ,Mohawk Boots Sz.42,Shoes,168.44,,-168.44,,,,,,,,,,,,,,
Rick Owens ,Cargobasket Sneakers Sz. 42,Shoes,168.44,289,120.56,,,,,,,,,,,,,,
Dior ,Trotter Shoulder Bag ,Bag,168.44,240.38,71.94,,,,,,,,,,,,,,
Chanel ,Wallet Chain ,Accessory,168.44,250.5,82.06,,,,,,,,,,,,,,
Rick Owens ,Mainline  Ramones low Sz.45,Shoes,180.72,262.97,82.25,,,,,,,,,,,,,,
 Rick Owens ,S/S 2017 DRKSHDW Nylon Ramones Sz.41,Shoes,187.5,,-187.5,,,,,,,,,,,,,,
